factor_id,source_class,activity,unit,gas,value_primary,source_primary,vintage_primary,value_crosscheck,source_crosscheck,vintage_crosscheck,deviation_pct,flags,notes
fuel_pet_coke_n2o_per_tonne,fuel,Petroleum coke,kg N2O per tonne,N2O,0.0195,GHG Protocol Cross-Sector Tools EF workbook v2.0,v2.0 (Mar 2024; IPCC 2006 basis),0.0214765,UK DESNZ/DEFRA GHG conversion factors 2026 (full set),"2026 (pub. 11 Jun 2026, last upd. 31 Jul 2026)",10.14,tier1-default|deviation-gt-5pct,"GHGP Stationary Combustion Table 3, fuel 'Petroleum coke'; NCV 32.5 TJ/Gg (net/lower heating value basis). Cross-check unit reconciliation: DEFRA publishes N2O pre-weighted as CO2e; divided by DEFRA's own AR5 GWP (265.0) to recover kg N2O per tonne. GHGP uses IPCC 2006 generic Tier 1 defaults while DEFRA uses UK GHGI measured factors, so a large divergence here is methodological, not an error."
fuel_coke_oven_coke_co2_per_tonne,fuel,Coke (coke-oven coke),kg CO2 per tonne,CO2,3017.4,GHG Protocol Cross-Sector Tools EF workbook v2.0,v2.0 (Mar 2024; IPCC 2006 basis),,,,,tier1-default,"GHGP Stationary Combustion Table 1, fuel 'Coke oven coke'; NCV 28.2 TJ/Gg (net/lower heating value basis). DEFRA 2026 lists 'Coking coal' (a kiln INPUT coal), not coke-oven coke (the OUTPUT). Not the same commodity, so no cross-check is forced. DEFRA coking coal = 3144.16 kgCO2/t for reference only."
fuel_coke_oven_coke_ch4_per_tonne,fuel,Coke (coke-oven coke),kg CH4 per tonne,CH4,0.282,GHG Protocol Cross-Sector Tools EF workbook v2.0,v2.0 (Mar 2024; IPCC 2006 basis),,,,,tier1-default,"GHGP Stationary Combustion Table 2, fuel 'Coke oven coke'; NCV 28.2 TJ/Gg (net/lower heating value basis). DEFRA 2026 lists 'Coking coal' (a kiln INPUT coal), not coke-oven coke (the OUTPUT). Not the same commodity, so no cross-check is forced. DEFRA coking coal = 3144.16 kgCO2/t for reference only."
fuel_coke_oven_coke_n2o_per_tonne,fuel,Coke (coke-oven coke),kg N2O per tonne,N2O,0.0423,GHG Protocol Cross-Sector Tools EF workbook v2.0,v2.0 (Mar 2024; IPCC 2006 basis),,,,,tier1-default,"GHGP Stationary Combustion Table 3, fuel 'Coke oven coke'; NCV 28.2 TJ/Gg (net/lower heating value basis). DEFRA 2026 lists 'Coking coal' (a kiln INPUT coal), not coke-oven coke (the OUTPUT). Not the same commodity, so no cross-check is forced. DEFRA coking coal = 3144.16 kgCO2/t for reference only."
fuel_naphtha_co2_per_litre,fuel,Naphtha,kg CO2 per litre,CO2,2.3758,GHG Protocol Cross-Sector Tools EF workbook v2.0,v2.0 (Mar 2024; IPCC 2006 basis),2.11149,UK DESNZ/DEFRA GHG conversion factors 2026 (full set),"2026 (pub. 11 Jun 2026, last upd. 31 Jul 2026)",-11.13,tier1-default|deviation-gt-5pct,"GHGP Stationary Combustion Table 1, fuel 'Naphtha'; NCV 44.5 TJ/Gg (net/lower heating value basis). GHGP liquid density 0.72836 kg/litre. Cross-check: DEFRA 2026 Fuels, 'naphtha', litres, column 'kg CO2e of CO2 per unit' (= kg CO2, GWP-invariant)."
fuel_naphtha_ch4_per_litre,fuel,Naphtha,kg CH4 per litre,CH4,0.00032412,GHG Protocol Cross-Sector Tools EF workbook v2.0,v2.0 (Mar 2024; IPCC 2006 basis),9.21429e-05,UK DESNZ/DEFRA GHG conversion factors 2026 (full set),"2026 (pub. 11 Jun 2026, last upd. 31 Jul 2026)",-71.57,tier1-default|deviation-gt-5pct,"GHGP Stationary Combustion Table 2, fuel 'Naphtha'; NCV 44.5 TJ/Gg (net/lower heating value basis). GHGP liquid density 0.72836 kg/litre. Cross-check unit reconciliation: DEFRA publishes CH4 pre-weighted as CO2e; divided by DEFRA's own AR5 GWP (28.0) to recover kg CH4 per litre. GHGP uses IPCC 2006 generic Tier 1 defaults while DEFRA uses UK GHGI measured factors, so a large divergence here is methodological, not an error."
fuel_naphtha_n2o_per_litre,fuel,Naphtha,kg N2O per litre,N2O,1.94472e-05,GHG Protocol Cross-Sector Tools EF workbook v2.0,v2.0 (Mar 2024; IPCC 2006 basis),1.83774e-05,UK DESNZ/DEFRA GHG conversion factors 2026 (full set),"2026 (pub. 11 Jun 2026, last upd. 31 Jul 2026)",-5.50,tier1-default|deviation-gt-5pct,"GHGP Stationary Combustion Table 3, fuel 'Naphtha'; NCV 44.5 TJ/Gg (net/lower heating value basis). GHGP liquid density 0.72836 kg/litre. Cross-check unit reconciliation: DEFRA publishes N2O pre-weighted as CO2e; divided by DEFRA's own AR5 GWP (265.0) to recover kg N2O per litre. GHGP uses IPCC 2006 generic Tier 1 defaults while DEFRA uses UK GHGI measured factors, so a large divergence here is methodological, not an error."
fuel_naphtha_co2_per_tonne,fuel,Naphtha,kg CO2 per tonne,CO2,3261.85,GHG Protocol Cross-Sector Tools EF workbook v2.0,v2.0 (Mar 2024; IPCC 2006 basis),3131.33,UK DESNZ/DEFRA GHG conversion factors 2026 (full set),"2026 (pub. 11 Jun 2026, last upd. 31 Jul 2026)",-4.00,tier1-default,"GHGP Stationary Combustion Table 1, fuel 'Naphtha'; NCV 44.5 TJ/Gg (net/lower heating value basis). Cross-check: DEFRA 2026 Fuels, 'naphtha', tonnes, column 'kg CO2e of CO2 per unit' (= kg CO2, GWP-invariant)."
fuel_naphtha_ch4_per_tonne,fuel,Naphtha,kg CH4 per tonne,CH4,0.445,GHG Protocol Cross-Sector Tools EF workbook v2.0,v2.0 (Mar 2024; IPCC 2006 basis),0.1364,UK DESNZ/DEFRA GHG conversion factors 2026 (full set),"2026 (pub. 11 Jun 2026, last upd. 31 Jul 2026)",-69.35,tier1-default|deviation-gt-5pct,"GHGP Stationary Combustion Table 2, fuel 'Naphtha'; NCV 44.5 TJ/Gg (net/lower heating value basis). Cross-check unit reconciliation: DEFRA publishes CH4 pre-weighted as CO2e; divided by DEFRA's own AR5 GWP (28.0) to recover kg CH4 per tonne. GHGP uses IPCC 2006 generic Tier 1 defaults while DEFRA uses UK GHGI measured factors, so a large divergence here is methodological, not an error."
fuel_naphtha_n2o_per_tonne,fuel,Naphtha,kg N2O per tonne,N2O,0.0267,GHG Protocol Cross-Sector Tools EF workbook v2.0,v2.0 (Mar 2024; IPCC 2006 basis),0.0272819,UK DESNZ/DEFRA GHG conversion factors 2026 (full set),"2026 (pub. 11 Jun 2026, last upd. 31 Jul 2026)",2.18,tier1-default,"GHGP Stationary Combustion Table 3, fuel 'Naphtha'; NCV 44.5 TJ/Gg (net/lower heating value basis). Cross-check unit reconciliation: DEFRA publishes N2O pre-weighted as CO2e; divided by DEFRA's own AR5 GWP (265.0) to recover kg N2O per tonne. GHGP uses IPCC 2006 generic Tier 1 defaults while DEFRA uses UK GHGI measured factors, so a large divergence here is methodological, not an error."
fuel_biomass_rice_husk_co2_per_tonne,fuel,Biomass / rice husk (solid primary biomass),kg CO2 per tonne,CO2,1160,GHG Protocol Cross-Sector Tools EF workbook v2.0,v2.0 (Mar 2024; IPCC 2006 basis),,,,,tier1-default|biogenic-memo,"GHGP Stationary Combustion Table 1, fuel 'Other primary solid biomass fuels'; NCV 11.6 TJ/Gg (net/lower heating value basis). DEFRA 'Bioenergy' publishes only the non-CO2 portion as an AR5-weighted kgCO2e/tonne aggregate (e.g. Grass/straw 46.89 kgCO2e/t), with biogenic CO2 excluded. Cannot be reconciled to a per-gas mass factor, so cross-check left empty. BIOGENIC: report as a memo item, NOT in the Scope 1 total (SPEC 5, textiles husk boilers). CH4 and N2O from the same fuel ARE normal Scope 1 lines."
fuel_biomass_rice_husk_ch4_per_tonne,fuel,Biomass / rice husk (solid primary biomass),kg CH4 per tonne,CH4,3.48,GHG Protocol Cross-Sector Tools EF workbook v2.0,v2.0 (Mar 2024; IPCC 2006 basis),,,,,tier1-default,"GHGP Stationary Combustion Table 2, fuel 'Other primary solid biomass fuels'; NCV 11.6 TJ/Gg (net/lower heating value basis). DEFRA 'Bioenergy' publishes only the non-CO2 portion as an AR5-weighted kgCO2e/tonne aggregate (e.g. Grass/straw 46.89 kgCO2e/t), with biogenic CO2 excluded. Cannot be reconciled to a per-gas mass factor, so cross-check left empty."
fuel_biomass_rice_husk_n2o_per_tonne,fuel,Biomass / rice husk (solid primary biomass),kg N2O per tonne,N2O,0.0464,GHG Protocol Cross-Sector Tools EF workbook v2.0,v2.0 (Mar 2024; IPCC 2006 basis),,,,,tier1-default,"GHGP Stationary Combustion Table 3, fuel 'Other primary solid biomass fuels'; NCV 11.6 TJ/Gg (net/lower heating value basis). DEFRA 'Bioenergy' publishes only the non-CO2 portion as an AR5-weighted kgCO2e/tonne aggregate (e.g. Grass/straw 46.89 kgCO2e/t), with biogenic CO2 excluded. Cannot be reconciled to a per-gas mass factor, so cross-check left empty."
grid_india_weighted_avg,grid,India national grid electricity (location-based Scope 2),tCO2 per MWh,CO2,0.71,CEA CO2 Baseline Database for the Indian Power Sector v21.0,"v21.0 (Nov 2025), FY 2024-25",0.727,CEA CO2 Baseline Database for the Indian Power Sector v21.0 Annexure-I (prior vintage),FY 2023-24 (as published in v21.0),2.39,,"CEA v21.0 User Guide Table S, page 1: weighted average emission factor of the unified Indian Grid for FY 2024-25, adjusted for cross-border transfers, including RES and grid-connected captive injection. Cross-check is the FY 2023-24 value from Annexure-I of the SAME document (0.727), i.e. the prior-vintage reference the SPEC calls for; the deviation is the real year-on-year decarbonisation of the grid, not a source disagreement. Unadjusted (excluding cross-border transfers) value is 0.712."
grid_india_operating_margin,grid,India national grid electricity - simple operating margin (OM),tCO2 per MWh,CO2,0.961,CEA CO2 Baseline Database for the Indian Power Sector v21.0,"v21.0 (Nov 2025), FY 2024-25",,,,,,"CEA v21.0 User Guide Table S, page 1, simple operating margin (OM), FY 2024-25, adjusted for cross-border transfers. Not used for location-based Scope 2; carried for CDM/Article-6 style marginal calculations and for the market-based line."
grid_india_build_margin,grid,India national grid electricity - build margin (BM),tCO2 per MWh,CO2,0.512,CEA CO2 Baseline Database for the Indian Power Sector v21.0,"v21.0 (Nov 2025), FY 2024-25",,,,,,"CEA v21.0 User Guide Table S, page 1, build margin (BM), FY 2024-25, adjusted for cross-border transfers. Not used for location-based Scope 2; carried for CDM/Article-6 style marginal calculations and for the market-based line."
grid_india_combined_margin,grid,"India national grid electricity - combined margin (CM, 50:50 OM/BM)",tCO2 per MWh,CO2,0.736,CEA CO2 Baseline Database for the Indian Power Sector v21.0,"v21.0 (Nov 2025), FY 2024-25",,,,,,"CEA v21.0 User Guide Table S, page 1, combined margin (CM, 50:50 OM/BM), FY 2024-25, adjusted for cross-border transfers. Not used for location-based Scope 2; carried for CDM/Article-6 style marginal calculations and for the market-based line."
gwp_ch4_fossil,gwp,Methane (fossil origin),kg CO2e per kg gas,CH4,29.8,IPCC AR6 WGI Ch.7 Table 7.15,AR6 (2021) GWP-100,28,UK DESNZ/DEFRA GHG conversion factors 2026 (full set) (AR5 basis),"2026 (pub. 11 Jun 2026, last upd. 31 Jul 2026)",-6.04,ar5-vs-ar6|deviation-gt-5pct,"AR6 GWP-100, species 'CH4_fossil'. DECLARED BASIS FOR THIS PROJECT = AR6. Cross-check is DEFRA 2026, which is an AR5-basis set (its methodology paper para 1 and 4.5 state GWP CH4=28, N2O=265 from IPCC AR5); the deviation column here therefore measures the AR5->AR6 revision, NOT a source error. Do not mix the two sets. AR6 separates fossil from non-fossil CH4; fossil is the correct choice for natural gas, LPG, coal and oil combustion."
gwp_ch4_nonfossil,gwp,Methane (non-fossil / biogenic origin),kg CO2e per kg gas,CH4,27,IPCC AR6 WGI Ch.7 Table 7.15,AR6 (2021) GWP-100,28,UK DESNZ/DEFRA GHG conversion factors 2026 (full set) (AR5 basis),"2026 (pub. 11 Jun 2026, last upd. 31 Jul 2026)",3.70,ar5-vs-ar6,"AR6 GWP-100, species 'CH4_nonfossil'. DECLARED BASIS FOR THIS PROJECT = AR6. Cross-check is DEFRA 2026, which is an AR5-basis set (its methodology paper para 1 and 4.5 state GWP CH4=28, N2O=265 from IPCC AR5); the deviation column here therefore measures the AR5->AR6 revision, NOT a source error. Do not mix the two sets. Use for CH4 from biomass/rice-husk combustion and effluent treatment."
gwp_n2o,gwp,Nitrous oxide,kg CO2e per kg gas,N2O,273,IPCC AR6 WGI Ch.7 Table 7.15,AR6 (2021) GWP-100,265,UK DESNZ/DEFRA GHG conversion factors 2026 (full set) (AR5 basis),"2026 (pub. 11 Jun 2026, last upd. 31 Jul 2026)",-2.93,ar5-vs-ar6,"AR6 GWP-100, species 'N2O'. DECLARED BASIS FOR THIS PROJECT = AR6. Cross-check is DEFRA 2026, which is an AR5-basis set (its methodology paper para 1 and 4.5 state GWP CH4=28, N2O=265 from IPCC AR5); the deviation column here therefore measures the AR5->AR6 revision, NOT a source error. Do not mix the two sets."
gwp_cf4,gwp,Tetrafluoromethane CF4 (PFC-14),kg CO2e per kg gas,CF4,7380,IPCC AR6 WGI Ch.7 Supplementary Material Table 7.SM.7,AR6 (2021) GWP-100,6630,UK DESNZ/DEFRA GHG conversion factors 2026 (full set) (AR5 basis),"2026 (pub. 11 Jun 2026, last upd. 31 Jul 2026)",-10.16,ar5-vs-ar6|deviation-gt-5pct,"AR6 GWP-100, species 'PFC-14'. DECLARED BASIS FOR THIS PROJECT = AR6. Cross-check is DEFRA 2026, which is an AR5-basis set (its methodology paper para 1 and 4.5 state GWP CH4=28, N2O=265 from IPCC AR5); the deviation column here therefore measures the AR5->AR6 revision, NOT a source error. Do not mix the two sets. Aluminium smelting PFC."
gwp_c2f6,gwp,Hexafluoroethane C2F6 (PFC-116),kg CO2e per kg gas,C2F6,12400,IPCC AR6 WGI Ch.7 Supplementary Material Table 7.SM.7,AR6 (2021) GWP-100,11100,UK DESNZ/DEFRA GHG conversion factors 2026 (full set) (AR5 basis),"2026 (pub. 11 Jun 2026, last upd. 31 Jul 2026)",-10.48,ar5-vs-ar6|deviation-gt-5pct,"AR6 GWP-100, species 'PFC-116'. DECLARED BASIS FOR THIS PROJECT = AR6. Cross-check is DEFRA 2026, which is an AR5-basis set (its methodology paper para 1 and 4.5 state GWP CH4=28, N2O=265 from IPCC AR5); the deviation column here therefore measures the AR5->AR6 revision, NOT a source error. Do not mix the two sets. Aluminium smelting PFC."
gwp_sf6,gwp,Sulphur hexafluoride,kg CO2e per kg gas,SF6,24300,IPCC AR6 WGI Ch.7 Supplementary Material Table 7.SM.7,AR6 (2021) GWP-100,23500,UK DESNZ/DEFRA GHG conversion factors 2026 (full set) (AR5 basis),"2026 (pub. 11 Jun 2026, last upd. 31 Jul 2026)",-3.29,ar5-vs-ar6,"AR6 GWP-100, species 'SF6'. DECLARED BASIS FOR THIS PROJECT = AR6. Cross-check is DEFRA 2026, which is an AR5-basis set (its methodology paper para 1 and 4.5 state GWP CH4=28, N2O=265 from IPCC AR5); the deviation column here therefore measures the AR5->AR6 revision, NOT a source error. Do not mix the two sets. Switchgear; carried for completeness."
gwp_r22,gwp,Refrigerant R-22 (HCFC-22),kg CO2e per kg gas,R-22,1960,IPCC AR6 WGI Ch.7 Supplementary Material Table 7.SM.7,AR6 (2021) GWP-100,1760,UK DESNZ/DEFRA GHG conversion factors 2026 (full set) (AR5 basis),"2026 (pub. 11 Jun 2026, last upd. 31 Jul 2026)",-10.20,ar5-vs-ar6|deviation-gt-5pct,"AR6 GWP-100, species 'HCFC-22'. DECLARED BASIS FOR THIS PROJECT = AR6. Cross-check is DEFRA 2026, which is an AR5-basis set (its methodology paper para 1 and 4.5 state GWP CH4=28, N2O=265 from IPCC AR5); the deviation column here therefore measures the AR5->AR6 revision, NOT a source error. Do not mix the two sets. Montreal-Protocol gas: still widely charged in Indian industrial chillers. Not a Kyoto basket gas, so DEFRA reports it under 'non-Kyoto'."
gwp_r32,gwp,Refrigerant R-32 (HFC-32),kg CO2e per kg gas,R-32,771,IPCC AR6 WGI Ch.7 Supplementary Material Table 7.SM.7,AR6 (2021) GWP-100,677,UK DESNZ/DEFRA GHG conversion factors 2026 (full set) (AR5 basis),"2026 (pub. 11 Jun 2026, last upd. 31 Jul 2026)",-12.19,ar5-vs-ar6|deviation-gt-5pct,"AR6 GWP-100, species 'HFC-32'. DECLARED BASIS FOR THIS PROJECT = AR6. Cross-check is DEFRA 2026, which is an AR5-basis set (its methodology paper para 1 and 4.5 state GWP CH4=28, N2O=265 from IPCC AR5); the deviation column here therefore measures the AR5->AR6 revision, NOT a source error. Do not mix the two sets."
gwp_r134a,gwp,Refrigerant R-134a (HFC-134a),kg CO2e per kg gas,R-134a,1530,IPCC AR6 WGI Ch.7 Supplementary Material Table 7.SM.7,AR6 (2021) GWP-100,1300,UK DESNZ/DEFRA GHG conversion factors 2026 (full set) (AR5 basis),"2026 (pub. 11 Jun 2026, last upd. 31 Jul 2026)",-15.03,ar5-vs-ar6|deviation-gt-5pct,"AR6 GWP-100, species 'HFC-134a'. DECLARED BASIS FOR THIS PROJECT = AR6. Cross-check is DEFRA 2026, which is an AR5-basis set (its methodology paper para 1 and 4.5 state GWP CH4=28, N2O=265 from IPCC AR5); the deviation column here therefore measures the AR5->AR6 revision, NOT a source error. Do not mix the two sets."
gwp_r404a,gwp,Refrigerant R-404A (blend),kg CO2e per kg gas,R-404A,4728,"IPCC AR6 WGI Ch.7 Supplementary Material Table 7.SM.7 components x US EPA SNAP, Compositions of Refrigerant Blends mass fractions",AR6 (2021) GWP-100,3943,UK DESNZ/DEFRA GHG conversion factors 2026 (full set) (AR5 basis),"2026 (pub. 11 Jun 2026, last upd. 31 Jul 2026)",-16.60,ar5-vs-ar6|derived-blend|deviation-gt-5pct,"DERIVED, not published: AR6 assesses pure species only and publishes no blend GWPs. METHOD: mass-weighted sum of constituent GWP-100 values, the standard convention (EU F-gas Regulation 517/2014 Annex IV and (EU) 2024/573 Annex VI both define blend GWP exactly this way; both were fetched and confirmed to give the method but no composition table). COMPOSITION by weight: 52% HFC-143a (AR6 GWP-100 5810), 44% HFC-125 (AR6 GWP-100 3740), 4% HFC-134a (AR6 GWP-100 1530), parsed from the US EPA SNAP 'Compositions of Refrigerant Blends' table. CALCULATION: 0.52 x 5810 + 0.44 x 3740 + 0.04 x 1530 = 4728 kgCO2e/kg. Cross-confirmation: the DEFRA 2026 methodology paper para 4.6 independently states the same split (44% HFC-125, 52% HFC-143a, 4% HFC-134a) and shows its own AR5 arithmetic [3170 x 0.44] + [4800 x 0.52] + [1300 x 0.04] = 3943, which is the cross-check value here. Two independent sources agree on the composition. The deviation against the cross-check is therefore purely the AR5->AR6 component revision, not a disagreement about composition."
gwp_r410a,gwp,Refrigerant R-410A (blend),kg CO2e per kg gas,R-410A,2255.5,"IPCC AR6 WGI Ch.7 Supplementary Material Table 7.SM.7 components x US EPA SNAP, Compositions of Refrigerant Blends mass fractions",AR6 (2021) GWP-100,1924,UK DESNZ/DEFRA GHG conversion factors 2026 (full set) (AR5 basis),"2026 (pub. 11 Jun 2026, last upd. 31 Jul 2026)",-14.70,ar5-vs-ar6|derived-blend|deviation-gt-5pct,"DERIVED, not published: AR6 assesses pure species only and publishes no blend GWPs. METHOD: mass-weighted sum of constituent GWP-100 values, the standard convention (EU F-gas Regulation 517/2014 Annex IV and (EU) 2024/573 Annex VI both define blend GWP exactly this way; both were fetched and confirmed to give the method but no composition table). COMPOSITION by weight: 50% HFC-32 (AR6 GWP-100 771), 50% HFC-125 (AR6 GWP-100 3740), parsed from the US EPA SNAP 'Compositions of Refrigerant Blends' table. CALCULATION: 0.5 x 771 + 0.5 x 3740 = 2255.5 kgCO2e/kg. Cross-confirmation: DEFRA's AR5-basis published value for R-410A is 1924 kgCO2e/kg (the cross-check here); applying DEFRA's own AR5 component GWPs (HFC-32 = 677, HFC-125 = 3170) to this same 50/50 split reproduces 0.5 x 677 + 0.5 x 3170 = 1923.5, i.e. DEFRA's published 1924 to within rounding. That reproduction independently validates the 50/50 composition. The deviation against the cross-check is therefore purely the AR5->AR6 component revision, not a disagreement about composition."
process_cement_clinker_co2,process,Cement clinker calcination (CO2 from carbonate decomposition),tCO2 per tonne clinker,CO2,0.52,IPCC 2006 GL Vol.3 Ch.2 (Mineral Industry),2006 Guidelines,0.51,IPCC 2006 GL Vol.3 Ch.2 (Mineral Industry) (uncorrected base EF),2006 Guidelines,-1.92,tier1-default,"IPCC 2006 Vol.3 Ch.2 Equation 2.4 (p.2.12): EF_clc = 0.51 x 1.02 (CKD correction) = 0.52 tCO2/t clinker. Assumes clinker is 65% CaO, 100% derived from CaCO3, 100% calcination. Cross-check is the same equation's uncorrected base factor 0.51 (the Tier 2 starting point, which excludes cement kiln dust). SPEC 5 prefers a plant-specific CaO-based Tier 2 factor where available: Ch.2 gives 0.47 for 60% CaO and 0.53 for 67% CaO."
process_steel_eaf_tier1,process,Steel - Electric Arc Furnace (EAF) process CO2,tCO2 per tonne crude steel,CO2,0.08,IPCC 2006 GL Vol.3 Ch.4 (Metal Industry),2006 Guidelines,,,,,tier1-default,"IPCC 2006 Vol.3 Ch.4 Table 4.1 (Tier 1 default CO2 emission factors for coke production and iron & steel production). Process CO2 only (electrode + charge carbon + flux). Excludes the grid or captive electricity that dominates an EAF footprint - that is the Scope 2 / captive Scope 1 line, not this factor."
process_steel_bof_tier1,process,Steel - Basic Oxygen Furnace (BOF) process CO2,tCO2 per tonne crude steel,CO2,1.46,IPCC 2006 GL Vol.3 Ch.4 (Metal Industry),2006 Guidelines,,,,,tier1-default,IPCC 2006 Vol.3 Ch.4 Table 4.1 (Tier 1 default CO2 emission factors for coke production and iron & steel production). For the BF-BOF route gate.
process_steel_bf_iron_tier1,process,Steel - blast furnace pig iron production,tCO2 per tonne pig iron,CO2,1.35,IPCC 2006 GL Vol.3 Ch.4 (Metal Industry),2006 Guidelines,,,,,tier1-default,IPCC 2006 Vol.3 Ch.4 Table 4.1 (Tier 1 default CO2 emission factors for coke production and iron & steel production). For the BF-BOF route gate.
process_steel_dri_tier1,process,Steel - direct reduced iron (DRI) production,tCO2 per tonne DRI,CO2,0.7,IPCC 2006 GL Vol.3 Ch.4 (Metal Industry),2006 Guidelines,,,,,tier1-default,"IPCC 2006 Vol.3 Ch.4 Table 4.1 (Tier 1 default CO2 emission factors for coke production and iron & steel production). IPCC Tier 1 assumes NATURAL-GAS-based DRI (12.5 GJ/t, 15.3 kgC/GJ). India's coal-DRI route is materially more carbon-intensive, so SPEC 5's coal-DRI gate must NOT use this default - compute from actual reductant instead."
process_steel_coke_oven_tier1,process,Steel - coke oven (integrated coke production),tCO2 per tonne coke,CO2,0.56,IPCC 2006 GL Vol.3 Ch.4 (Metal Industry),2006 Guidelines,,,,,tier1-default,IPCC 2006 Vol.3 Ch.4 Table 4.1 (Tier 1 default CO2 emission factors for coke production and iron & steel production).
process_steel_sinter_tier1,process,Steel - sinter production,tCO2 per tonne sinter,CO2,0.2,IPCC 2006 GL Vol.3 Ch.4 (Metal Industry),2006 Guidelines,,,,,tier1-default,IPCC 2006 Vol.3 Ch.4 Table 4.1 (Tier 1 default CO2 emission factors for coke production and iron & steel production).
process_eaf_electrode_carbon,process,Steel - EAF carbon electrode consumption (carbon content),kg C per kg electrode,C,0.82,IPCC 2006 GL Vol.3 Ch.4 (Metal Industry),2006 Guidelines,,,,,tier1-default,"IPCC 2006 Vol.3 Ch.4 Table 4.3 (Tier 2 material-specific carbon contents), row 'EAF Carbon Electrodes' = 0.82 kg C/kg, assumed 80% petroleum coke / 20% coal tar. This is a CARBON CONTENT, not a CO2 factor - see the derived row process_eaf_electrode_co2 for the CO2 form."
process_eaf_electrode_co2,process,Steel - EAF carbon electrode consumption (CO2),tCO2 per tonne electrode,CO2,3.00667,IPCC 2006 GL Vol.3 Ch.4 (Metal Industry) x 44/12,2006 Guidelines,,,,,tier1-default|stoichiometric|derived,"DERIVED: 0.82 kg C/kg electrode (IPCC Vol.3 Ch.4 Table 4.3) x 44/12 = 3.00667 tCO2 per tonne electrode. The 44/12 ratio is stated verbatim in the same chapter (Ch.4, Equation 4.24 variable list: '44/12 = CO2 molecular mass : carbon atomic mass ratio'). Assumes complete oxidation of consumed electrode carbon."
process_alu_anode_prebake_co2,process,Aluminium - Prebake anode/paste consumption CO2,tCO2 per tonne Al,CO2,1.6,IPCC 2006 GL Vol.3 Ch.4 (Metal Industry),2006 Guidelines,,,,,tier1-default,"IPCC 2006 Vol.3 Ch.4 Table 4.10 (Tier 1 technology-specific EFs for calculating CO2 from anode or paste consumption), Prebake = 1.6 tCO2/t Al, uncertainty +/-10%. Derived from International Aluminium Institute Life Cycle Assessment of Aluminium (IAI, 2000). The Prebake factor already includes CO2 from combustion of pitch volatiles and packing coke during anode baking. SPEC 5 prefers the Tier 2/3 net-anode-consumption route (anode C x 44/12) where plant data exist."
process_alu_paste_soderberg_co2,process,Aluminium - Soderberg anode/paste consumption CO2,tCO2 per tonne Al,CO2,1.7,IPCC 2006 GL Vol.3 Ch.4 (Metal Industry),2006 Guidelines,,,,,tier1-default,"IPCC 2006 Vol.3 Ch.4 Table 4.10 (Tier 1 technology-specific EFs for calculating CO2 from anode or paste consumption), Soderberg = 1.7 tCO2/t Al, uncertainty +/-10%. Derived from International Aluminium Institute Life Cycle Assessment of Aluminium (IAI, 2000). The Prebake factor already includes CO2 from combustion of pitch volatiles and packing coke during anode baking. SPEC 5 prefers the Tier 2/3 net-anode-consumption route (anode C x 44/12) where plant data exist."
process_alu_cf4_cwpb,process,"Aluminium - PFC from anode effects, CWPB cell technology",kg gas per tonne Al,CF4,0.4,IPCC 2006 GL Vol.3 Ch.4 (Metal Industry),2006 Guidelines,,,,,tier1-default,"IPCC 2006 Vol.3 Ch.4 Table 4.15 (Tier 1 default PFC EFs by cell technology), CWPB CF4 = 0.4 kg/t Al. Technology codes: CWPB = Centre Worked Prebake, SWPB = Side Worked Prebake, VSS = Vertical Stud Soderberg, HSS = Horizontal Stud Soderberg. Uncertainty is very wide (CWPB -99%/+380%). IPCC states these defaults 'should only be used in the absence of Tier 2 or Tier 3 data' - SPEC 5 therefore requires the anode-effect slope method where AE data exist, and this row must carry the 'default' flag into the calculation trail when used."
process_alu_c2f6_cwpb,process,"Aluminium - PFC from anode effects, CWPB cell technology",kg gas per tonne Al,C2F6,0.04,IPCC 2006 GL Vol.3 Ch.4 (Metal Industry),2006 Guidelines,,,,,tier1-default,"IPCC 2006 Vol.3 Ch.4 Table 4.15 (Tier 1 default PFC EFs by cell technology), CWPB C2F6 = 0.04 kg/t Al. Technology codes: CWPB = Centre Worked Prebake, SWPB = Side Worked Prebake, VSS = Vertical Stud Soderberg, HSS = Horizontal Stud Soderberg. Uncertainty is very wide (CWPB -99%/+380%). IPCC states these defaults 'should only be used in the absence of Tier 2 or Tier 3 data' - SPEC 5 therefore requires the anode-effect slope method where AE data exist, and this row must carry the 'default' flag into the calculation trail when used."
process_alu_cf4_swpb,process,"Aluminium - PFC from anode effects, SWPB cell technology",kg gas per tonne Al,CF4,1.6,IPCC 2006 GL Vol.3 Ch.4 (Metal Industry),2006 Guidelines,,,,,tier1-default,"IPCC 2006 Vol.3 Ch.4 Table 4.15 (Tier 1 default PFC EFs by cell technology), SWPB CF4 = 1.6 kg/t Al. Technology codes: CWPB = Centre Worked Prebake, SWPB = Side Worked Prebake, VSS = Vertical Stud Soderberg, HSS = Horizontal Stud Soderberg. Uncertainty is very wide (CWPB -99%/+380%). IPCC states these defaults 'should only be used in the absence of Tier 2 or Tier 3 data' - SPEC 5 therefore requires the anode-effect slope method where AE data exist, and this row must carry the 'default' flag into the calculation trail when used."
